"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","708","userCanCreateDepositWithValidDataTest(double) [2] 5000","","Thu Aug 20 15:06:33 UTC 2026","failed","Thu Aug 20 15:06:34 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","897","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [1] NEGATIVE","","Thu Aug 20 15:06:39 UTC 2026","failed","Thu Aug 20 15:06:40 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","3341","userCanTransferMoneyPositiveTest()","","Thu Aug 20 15:06:07 UTC 2026","failed","Thu Aug 20 15:06:10 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanTransferMoneyPositiveTest"
"","261","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [5] NO_UPPERCASE","","Thu Aug 20 15:05:50 UTC 2026","passed","Thu Aug 20 15:05:51 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","3038","userCanNotTransferMoneyWithoutDataConfirmationTest()","","Thu Aug 20 15:06:20 UTC 2026","failed","Thu Aug 20 15:06:23 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyWithoutDataConfirmationTest"
"","2035","userCanNotCreateDepositWithoutSelectingAccountTest()","","Thu Aug 20 15:05:56 UTC 2026","passed","Thu Aug 20 15:05:58 UTC 2026","","iteration_2.ui.CreateDepositTest","iteration_2.ui.CreateDepositTest","userCanNotCreateDepositWithoutSelectingAccountTest"
"","730","userCanNotCreateDepositForNotExistingAccountTest()","","Thu Aug 20 15:06:35 UTC 2026","failed","Thu Aug 20 15:06:35 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositForNotExistingAccountTest"
"","259","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [1] BLANK","","Thu Aug 20 15:05:51 UTC 2026","passed","Thu Aug 20 15:05:51 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","903","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [2] EXCEED_LIMIT","","Thu Aug 20 15:06:40 UTC 2026","failed","Thu Aug 20 15:06:41 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","899","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [3] MORE_THAN_BALANCE","","Thu Aug 20 15:06:41 UTC 2026","failed","Thu Aug 20 15:06:42 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","1290","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [1] BLANK","","Thu Aug 20 15:05:48 UTC 2026","passed","Thu Aug 20 15:05:50 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","699","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [1] NEGATIVE","","Thu Aug 20 15:06:35 UTC 2026","failed","Thu Aug 20 15:06:36 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","3233","userCanNotTransferMoneyToMissedRecipientNameTest()","","Thu Aug 20 15:06:17 UTC 2026","failed","Thu Aug 20 15:06:20 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyToMissedRecipientNameTest"
