"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [4] INVALID_CHAR","","Thu Aug 20 18:11:58 UTC 2026","broken","Thu Aug 20 18:11:58 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","22","userCanCreateDepositWithValidDataTest(double) [1] 0.01","","Thu Aug 20 18:11:59 UTC 2026","broken","Thu Aug 20 18:11:59 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","329","adminCanCreateUserWithCorrectDataTest()","","Thu Aug 20 18:11:54 UTC 2026","broken","Thu Aug 20 18:11:55 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","1829","adminCanNotCreateUserWithIncorrectDataTest()","","Thu Aug 20 18:11:52 UTC 2026","broken","Thu Aug 20 18:11:54 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanNotCreateUserWithIncorrectDataTest"
"","15","userCanTransferMoneyToTheSameAccountTest()","","Thu Aug 20 18:11:58 UTC 2026","broken","Thu Aug 20 18:11:58 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanTransferMoneyToTheSameAccountTest"
"","23","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [3] TOO_LONG","","Thu Aug 20 18:11:58 UTC 2026","broken","Thu Aug 20 18:11:58 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","15","userCanTransferValidAmountOfMoneyToValidAccountTest()","","Thu Aug 20 18:11:59 UTC 2026","broken","Thu Aug 20 18:11:59 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanTransferValidAmountOfMoneyToValidAccountTest"
"","24","userCanTransferMoneyPositiveTest()","","Thu Aug 20 18:11:58 UTC 2026","broken","Thu Aug 20 18:11:58 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanTransferMoneyPositiveTest"
"","16","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [1] NEGATIVE","","Thu Aug 20 18:11:59 UTC 2026","broken","Thu Aug 20 18:11:59 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","14","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [2] EXCEED_LIMIT","","Thu Aug 20 18:11:59 UTC 2026","broken","Thu Aug 20 18:11:59 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","1509","adminCanLoginWithCorrectDataTest()","","Thu Aug 20 18:11:56 UTC 2026","broken","Thu Aug 20 18:11:58 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","16","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [1] THREE_WORDS","","Thu Aug 20 18:11:59 UTC 2026","broken","Thu Aug 20 18:11:59 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
