"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3298","adminCanCreateUserWithCorrectDataTest()","","Thu Aug 20 15:17:45 UTC 2026","passed","Thu Aug 20 15:17:48 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","3473","userCanTransferMoneyPositiveTest()","","Thu Aug 20 15:18:16 UTC 2026","failed","Thu Aug 20 15:18:19 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanTransferMoneyPositiveTest"
"","648","adminCanCreateUserWithValidDataTest()","","Thu Aug 20 15:17:58 UTC 2026","passed","Thu Aug 20 15:17:59 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","598","userCanChangePersonalInfoWithValidDataTest()","","Thu Aug 20 15:18:52 UTC 2026","failed","Thu Aug 20 15:18:53 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanChangePersonalInfoWithValidDataTest"
"","895","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [1] NEGATIVE","","Thu Aug 20 15:18:50 UTC 2026","failed","Thu Aug 20 15:18:51 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","794","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest()","","Thu Aug 20 15:18:49 UTC 2026","failed","Thu Aug 20 15:18:50 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest"
"","585","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [1] THREE_WORDS","","Thu Aug 20 15:18:53 UTC 2026","passed","Thu Aug 20 15:18:54 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","3149","userCanNotTransferMoneyToMissedAccountValueTest()","","Thu Aug 20 15:18:12 UTC 2026","failed","Thu Aug 20 15:18:16 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyToMissedAccountValueTest"
"","8963","userCanChangeNameTest()","","Thu Aug 20 15:18:34 UTC 2026","failed","Thu Aug 20 15:18:43 UTC 2026","","iteration_2.ui.ChangeNameTest","iteration_2.ui.ChangeNameTest","userCanChangeNameTest"
"","270","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [1] BLANK","","Thu Aug 20 15:17:57 UTC 2026","passed","Thu Aug 20 15:17:57 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","580","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [3] SPECIAL_CHARACTERS","","Thu Aug 20 15:18:54 UTC 2026","passed","Thu Aug 20 15:18:55 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","261","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [6] NO_LOWERCASE","","Thu Aug 20 15:17:57 UTC 2026","passed","Thu Aug 20 15:17:57 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
