"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","654","userCanNotCreateDepositForNotExistingAccountTest()","","Thu Aug 20 14:58:05 UTC 2026","failed","Thu Aug 20 14:58:06 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositForNotExistingAccountTest"
"","237","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [6] NO_LOWERCASE","","Thu Aug 20 14:57:21 UTC 2026","passed","Thu Aug 20 14:57:21 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","628","userCanCreateDepositWithValidDataTest(double) [3] 4999.99","","Thu Aug 20 14:58:04 UTC 2026","failed","Thu Aug 20 14:58:05 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","2312","userCanLoginWithCorrectDataTest()","","Thu Aug 20 14:57:12 UTC 2026","passed","Thu Aug 20 14:57:14 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","836","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [1] NEGATIVE","","Thu Aug 20 14:58:09 UTC 2026","failed","Thu Aug 20 14:58:10 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","1006","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [1] BLANK","","Thu Aug 20 14:57:19 UTC 2026","passed","Thu Aug 20 14:57:20 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","0","TransferWithFraudCheckTest","","Thu Aug 20 14:58:03 UTC 2026","broken","Thu Aug 20 14:58:03 UTC 2026","","iteration_2.api.TransferWithFraudCheckTest","iteration_2.api.TransferWithFraudCheckTest",""
"","6458","userCanChangeNameTest()","","Thu Aug 20 14:57:56 UTC 2026","failed","Thu Aug 20 14:58:03 UTC 2026","","iteration_2.ui.ChangeNameTest","iteration_2.ui.ChangeNameTest","userCanChangeNameTest"
"","633","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [3] ZERO","","Thu Aug 20 14:58:07 UTC 2026","failed","Thu Aug 20 14:58:08 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","837","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [2] EXCEED_LIMIT","","Thu Aug 20 14:58:10 UTC 2026","failed","Thu Aug 20 14:58:11 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","238","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [5] NO_UPPERCASE","","Thu Aug 20 14:57:20 UTC 2026","passed","Thu Aug 20 14:57:21 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","639","userCanCreateDepositWithValidDataTest(double) [2] 5000","","Thu Aug 20 14:58:04 UTC 2026","failed","Thu Aug 20 14:58:04 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","2771","userCanNotTransferMoneyWithoutDataConfirmationTest()","","Thu Aug 20 14:57:50 UTC 2026","failed","Thu Aug 20 14:57:53 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyWithoutDataConfirmationTest"
"","2923","userCanNotTransferMoneyToMissedAccountValueTest()","","Thu Aug 20 14:57:35 UTC 2026","failed","Thu Aug 20 14:57:38 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyToMissedAccountValueTest"
"","3115","userCanNotChangeNameForInvalidTest()","","Thu Aug 20 14:57:53 UTC 2026","failed","Thu Aug 20 14:57:56 UTC 2026","","iteration_2.ui.ChangeNameTest","iteration_2.ui.ChangeNameTest","userCanNotChangeNameForInvalidTest"
"","817","userCanTransferValidAmountOfMoneyToValidAccountTest()","","Thu Aug 20 14:58:08 UTC 2026","failed","Thu Aug 20 14:58:08 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanTransferValidAmountOfMoneyToValidAccountTest"
"","232","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [2] TOO_SHORT","","Thu Aug 20 14:57:21 UTC 2026","passed","Thu Aug 20 14:57:21 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","3586","adminCanCreateUserWithCorrectDataTest()","","Thu Aug 20 14:57:08 UTC 2026","passed","Thu Aug 20 14:57:12 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","2884","userCanNotTransferMoneyToMissedRecipientNameTest()","","Thu Aug 20 14:57:48 UTC 2026","failed","Thu Aug 20 14:57:50 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyToMissedRecipientNameTest"
"","1904","userCanCreateAccountTest()","","Thu Aug 20 14:57:17 UTC 2026","failed","Thu Aug 20 14:57:19 UTC 2026","","iteration_1.ui.CreateAccountTest","iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","3293","userCanNotTransferMoneyValueIncreasingBalanceTest()","","Thu Aug 20 14:57:32 UTC 2026","failed","Thu Aug 20 14:57:35 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyValueIncreasingBalanceTest"
"","724","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest()","","Thu Aug 20 14:58:08 UTC 2026","failed","Thu Aug 20 14:58:09 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest"
"","5724","adminCanNotCreateUserWithIncorrectDataTest()","","Thu Aug 20 14:57:02 UTC 2026","passed","Thu Aug 20 14:57:08 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanNotCreateUserWithIncorrectDataTest"
"","640","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [2] EXCEED_LIMIT","","Thu Aug 20 14:58:06 UTC 2026","failed","Thu Aug 20 14:58:07 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","94","adminCanGenerateAuthTokenTest()","","Thu Aug 20 14:57:23 UTC 2026","passed","Thu Aug 20 14:57:23 UTC 2026","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","4323","userCanNotCreateDepositMoreThanLimitTest()","","Thu Aug 20 14:57:24 UTC 2026","failed","Thu Aug 20 14:57:28 UTC 2026","","iteration_2.ui.CreateDepositTest","iteration_2.ui.CreateDepositTest","userCanNotCreateDepositMoreThanLimitTest"
"","252","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [4] NO_SPECIAL_CHAR","","Thu Aug 20 14:57:20 UTC 2026","passed","Thu Aug 20 14:57:20 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","818","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [3] MORE_THAN_BALANCE","","Thu Aug 20 14:58:11 UTC 2026","failed","Thu Aug 20 14:58:12 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","550","adminCanCreateUserWithValidDataTest()","","Thu Aug 20 14:57:22 UTC 2026","passed","Thu Aug 20 14:57:22 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","2300","userCanCreateDepositTest()","","Thu Aug 20 14:57:30 UTC 2026","failed","Thu Aug 20 14:57:32 UTC 2026","","iteration_2.ui.CreateDepositTest","iteration_2.ui.CreateDepositTest","userCanCreateDepositTest"
"","2582","userCanNotTransferMoneyWithoutSelectingSenderAccountTest()","","Thu Aug 20 14:57:45 UTC 2026","failed","Thu Aug 20 14:57:48 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyWithoutSelectingSenderAccountTest"
"","1958","userCanNotCreateDepositWithoutSelectingAccountTest()","","Thu Aug 20 14:57:28 UTC 2026","passed","Thu Aug 20 14:57:30 UTC 2026","","iteration_2.ui.CreateDepositTest","iteration_2.ui.CreateDepositTest","userCanNotCreateDepositWithoutSelectingAccountTest"
"","248","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [1] BLANK","","Thu Aug 20 14:57:21 UTC 2026","passed","Thu Aug 20 14:57:21 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","525","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [3] SPECIAL_CHARACTERS","","Thu Aug 20 14:58:13 UTC 2026","passed","Thu Aug 20 14:58:14 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","2644","adminCanLoginWithCorrectDataTest()","","Thu Aug 20 14:57:14 UTC 2026","passed","Thu Aug 20 14:57:17 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","659","userCanCreateDepositWithValidDataTest(double) [1] 0.01","","Thu Aug 20 14:58:03 UTC 2026","failed","Thu Aug 20 14:58:04 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","542","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [1] THREE_WORDS","","Thu Aug 20 14:58:12 UTC 2026","passed","Thu Aug 20 14:58:13 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","559","userCanChangePersonalInfoWithValidDataTest()","","Thu Aug 20 14:58:12 UTC 2026","failed","Thu Aug 20 14:58:12 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanChangePersonalInfoWithValidDataTest"
"","293","userCanGenerateAuthTokenTest()","","Thu Aug 20 14:57:22 UTC 2026","passed","Thu Aug 20 14:57:23 UTC 2026","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","246","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [3] NO_DIGIT","","Thu Aug 20 14:57:20 UTC 2026","passed","Thu Aug 20 14:57:20 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","236","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [4] INVALID_CHAR","","Thu Aug 20 14:57:22 UTC 2026","passed","Thu Aug 20 14:57:22 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","3013","userCanTransferMoneyToTheSameAccountTest()","","Thu Aug 20 14:57:42 UTC 2026","failed","Thu Aug 20 14:57:45 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanTransferMoneyToTheSameAccountTest"
"","710","userCanCreateAccountTest()","","Thu Aug 20 14:57:23 UTC 2026","passed","Thu Aug 20 14:57:24 UTC 2026","","iteration_1.api.CreateAccountTest","iteration_1.api.CreateAccountTest","userCanCreateAccountTest"
"","288","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [2] TOO_SHORT","","Thu Aug 20 14:57:20 UTC 2026","passed","Thu Aug 20 14:57:20 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","3641","userCanTransferMoneyPositiveTest()","","Thu Aug 20 14:57:38 UTC 2026","failed","Thu Aug 20 14:57:42 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanTransferMoneyPositiveTest"
"","632","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [1] NEGATIVE","","Thu Aug 20 14:58:06 UTC 2026","failed","Thu Aug 20 14:58:06 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","248","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [3] TOO_LONG","","Thu Aug 20 14:57:21 UTC 2026","passed","Thu Aug 20 14:57:22 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","528","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [2] DIGITS","","Thu Aug 20 14:58:13 UTC 2026","passed","Thu Aug 20 14:58:13 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
