"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2947","userCanNotTransferMoneyToMissedAccountValueTest()","","Thu Aug 20 18:15:37 UTC 2026","failed","Thu Aug 20 18:15:40 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyToMissedAccountValueTest"
"","895","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [3] MORE_THAN_BALANCE","","Thu Aug 20 18:16:14 UTC 2026","failed","Thu Aug 20 18:16:14 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","3485","adminCanCreateUserWithCorrectDataTest()","","Thu Aug 20 18:15:12 UTC 2026","passed","Thu Aug 20 18:15:16 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","271","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [5] NO_UPPERCASE","","Thu Aug 20 18:15:24 UTC 2026","passed","Thu Aug 20 18:15:24 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","600","userCanChangePersonalInfoWithValidDataTest()","","Thu Aug 20 18:16:14 UTC 2026","failed","Thu Aug 20 18:16:15 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanChangePersonalInfoWithValidDataTest"
"","2536","userCanCreateDepositTest()","","Thu Aug 20 18:15:31 UTC 2026","failed","Thu Aug 20 18:15:34 UTC 2026","","iteration_2.ui.CreateDepositTest","iteration_2.ui.CreateDepositTest","userCanCreateDepositTest"
"","718","userCanCreateDepositWithValidDataTest(double) [1] 0.01","","Thu Aug 20 18:16:05 UTC 2026","failed","Thu Aug 20 18:16:06 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","312","userCanGenerateAuthTokenTest()","","Thu Aug 20 18:15:26 UTC 2026","passed","Thu Aug 20 18:15:26 UTC 2026","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","103","adminCanGenerateAuthTokenTest()","","Thu Aug 20 18:15:26 UTC 2026","passed","Thu Aug 20 18:15:26 UTC 2026","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","0","TransferWithFraudCheckTest","","Thu Aug 20 18:16:05 UTC 2026","broken","Thu Aug 20 18:16:05 UTC 2026","","iteration_2.api.TransferWithFraudCheckTest","iteration_2.api.TransferWithFraudCheckTest",""
"","2339","userCanNotChangeNameForInvalidTest()","","Thu Aug 20 18:15:56 UTC 2026","failed","Thu Aug 20 18:15:58 UTC 2026","","iteration_2.ui.ChangeNameTest","iteration_2.ui.ChangeNameTest","userCanNotChangeNameForInvalidTest"
"","282","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [4] NO_SPECIAL_CHAR","","Thu Aug 20 18:15:23 UTC 2026","passed","Thu Aug 20 18:15:24 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","605","adminCanCreateUserWithValidDataTest()","","Thu Aug 20 18:15:25 UTC 2026","passed","Thu Aug 20 18:15:26 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","807","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest()","","Thu Aug 20 18:16:11 UTC 2026","failed","Thu Aug 20 18:16:12 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest"
"","3439","userCanNotTransferMoneyValueIncreasingBalanceTest()","","Thu Aug 20 18:15:34 UTC 2026","failed","Thu Aug 20 18:15:37 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyValueIncreasingBalanceTest"
"","682","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [2] EXCEED_LIMIT","","Thu Aug 20 18:16:09 UTC 2026","failed","Thu Aug 20 18:16:09 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","582","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [1] THREE_WORDS","","Thu Aug 20 18:16:15 UTC 2026","passed","Thu Aug 20 18:16:16 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","706","userCanCreateDepositWithValidDataTest(double) [2] 5000","","Thu Aug 20 18:16:06 UTC 2026","failed","Thu Aug 20 18:16:07 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","1996","userCanNotCreateDepositWithoutSelectingAccountTest()","","Thu Aug 20 18:15:29 UTC 2026","passed","Thu Aug 20 18:15:31 UTC 2026","","iteration_2.ui.CreateDepositTest","iteration_2.ui.CreateDepositTest","userCanNotCreateDepositWithoutSelectingAccountTest"
"","280","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [3] NO_DIGIT","","Thu Aug 20 18:15:23 UTC 2026","passed","Thu Aug 20 18:15:23 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","896","userCanTransferValidAmountOfMoneyToValidAccountTest()","","Thu Aug 20 18:16:10 UTC 2026","failed","Thu Aug 20 18:16:11 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanTransferValidAmountOfMoneyToValidAccountTest"
"","692","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [1] NEGATIVE","","Thu Aug 20 18:16:08 UTC 2026","failed","Thu Aug 20 18:16:09 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","1175","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [1] BLANK","","Thu Aug 20 18:15:22 UTC 2026","passed","Thu Aug 20 18:15:23 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","2231","userCanLoginWithCorrectDataTest()","","Thu Aug 20 18:15:16 UTC 2026","passed","Thu Aug 20 18:15:18 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","3383","userCanTransferMoneyPositiveTest()","","Thu Aug 20 18:15:40 UTC 2026","failed","Thu Aug 20 18:15:44 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanTransferMoneyPositiveTest"
"","577","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [2] DIGITS","","Thu Aug 20 18:16:16 UTC 2026","passed","Thu Aug 20 18:16:16 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","693","userCanCreateDepositWithValidDataTest(double) [3] 4999.99","","Thu Aug 20 18:16:07 UTC 2026","failed","Thu Aug 20 18:16:07 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","697","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [3] ZERO","","Thu Aug 20 18:16:09 UTC 2026","failed","Thu Aug 20 18:16:10 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","769","userCanCreateAccountTest()","","Thu Aug 20 18:15:26 UTC 2026","passed","Thu Aug 20 18:15:27 UTC 2026","","iteration_1.api.CreateAccountTest","iteration_1.api.CreateAccountTest","userCanCreateAccountTest"
"","720","userCanNotCreateDepositForNotExistingAccountTest()","","Thu Aug 20 18:16:07 UTC 2026","failed","Thu Aug 20 18:16:08 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositForNotExistingAccountTest"
"","886","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [1] NEGATIVE","","Thu Aug 20 18:16:12 UTC 2026","failed","Thu Aug 20 18:16:13 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","3205","userCanTransferMoneyToTheSameAccountTest()","","Thu Aug 20 18:15:44 UTC 2026","failed","Thu Aug 20 18:15:47 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanTransferMoneyToTheSameAccountTest"
"","268","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [4] INVALID_CHAR","","Thu Aug 20 18:15:25 UTC 2026","passed","Thu Aug 20 18:15:25 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","3237","userCanNotTransferMoneyToMissedRecipientNameTest()","","Thu Aug 20 18:15:50 UTC 2026","failed","Thu Aug 20 18:15:53 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyToMissedRecipientNameTest"
