"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","903","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [2] EXCEED_LIMIT","","Thu Aug 20 15:21:33 UTC 2026","failed","Thu Aug 20 15:21:34 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","901","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [1] NEGATIVE","","Thu Aug 20 15:21:32 UTC 2026","failed","Thu Aug 20 15:21:33 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","2133","userCanLoginWithCorrectDataTest()","","Thu Aug 20 15:20:37 UTC 2026","passed","Thu Aug 20 15:20:39 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","696","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [1] NEGATIVE","","Thu Aug 20 15:21:28 UTC 2026","failed","Thu Aug 20 15:21:29 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","911","userCanTransferValidAmountOfMoneyToValidAccountTest()","","Thu Aug 20 15:21:30 UTC 2026","failed","Thu Aug 20 15:21:31 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanTransferValidAmountOfMoneyToValidAccountTest"
"","582","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [3] SPECIAL_CHARACTERS","","Thu Aug 20 15:21:37 UTC 2026","passed","Thu Aug 20 15:21:37 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","0","TransferWithFraudCheckTest","","Thu Aug 20 15:21:25 UTC 2026","broken","Thu Aug 20 15:21:25 UTC 2026","","iteration_2.api.TransferWithFraudCheckTest","iteration_2.api.TransferWithFraudCheckTest",""
"","894","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [3] MORE_THAN_BALANCE","","Thu Aug 20 15:21:34 UTC 2026","failed","Thu Aug 20 15:21:35 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","704","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [2] EXCEED_LIMIT","","Thu Aug 20 15:21:29 UTC 2026","failed","Thu Aug 20 15:21:30 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","606","adminCanCreateUserWithValidDataTest()","","Thu Aug 20 15:20:46 UTC 2026","passed","Thu Aug 20 15:20:47 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanCreateUserWithValidDataTest"
