"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1992","userCanNotCreateDepositWithoutSelectingAccountTest()","","Thu Aug 20 18:06:33 UTC 2026","passed","Thu Aug 20 18:06:35 UTC 2026","","iteration_2.ui.CreateDepositTest","iteration_2.ui.CreateDepositTest","userCanNotCreateDepositWithoutSelectingAccountTest"
"","247","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [5] NO_UPPERCASE","","Thu Aug 20 18:06:27 UTC 2026","broken","Thu Aug 20 18:06:28 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","2208","userCanLoginWithCorrectDataTest()","","Thu Aug 20 18:06:20 UTC 2026","passed","Thu Aug 20 18:06:22 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","586","adminCanCreateUserWithValidDataTest()","","Thu Aug 20 18:06:29 UTC 2026","broken","Thu Aug 20 18:06:29 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","0","TransferWithFraudCheckTest","","Thu Aug 20 18:06:56 UTC 2026","broken","Thu Aug 20 18:06:56 UTC 2026","","iteration_2.api.TransferWithFraudCheckTest","iteration_2.api.TransferWithFraudCheckTest",""
"","237","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [3] NO_DIGIT","","Thu Aug 20 18:06:27 UTC 2026","broken","Thu Aug 20 18:06:27 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","519","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [3] ZERO","","Thu Aug 20 18:06:59 UTC 2026","failed","Thu Aug 20 18:07:00 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","3099","adminCanCreateUserWithCorrectDataTest()","","Thu Aug 20 18:06:16 UTC 2026","passed","Thu Aug 20 18:06:20 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","3132","userCanChangeNameTest()","","Thu Aug 20 18:06:53 UTC 2026","passed","Thu Aug 20 18:06:56 UTC 2026","","iteration_2.ui.ChangeNameTest","iteration_2.ui.ChangeNameTest","userCanChangeNameTest"
"","1632","adminCanLoginWithCorrectDataTest()","","Thu Aug 20 18:06:22 UTC 2026","passed","Thu Aug 20 18:06:23 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","586","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest(InvalidTransferCase) [3] MORE_THAN_BALANCE","","Thu Aug 20 18:07:02 UTC 2026","failed","Thu Aug 20 18:07:03 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferInvalidAmountOfMoneyToValidAccountTest"
"","1209","adminCanNotCreateUserWithInvalidUserPassword(InvalidUserPasswordCase) [1] BLANK","","Thu Aug 20 18:06:25 UTC 2026","broken","Thu Aug 20 18:06:27 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserPassword"
"","518","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [2] DIGITS","","Thu Aug 20 18:07:04 UTC 2026","broken","Thu Aug 20 18:07:04 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","2879","userCanNotChangeNameForInvalidTest()","","Thu Aug 20 18:06:50 UTC 2026","passed","Thu Aug 20 18:06:53 UTC 2026","","iteration_2.ui.ChangeNameTest","iteration_2.ui.ChangeNameTest","userCanNotChangeNameForInvalidTest"
"","552","userCanNotCreateDepositWithInvalidDataTest(InvalidDepositCase) [2] EXCEED_LIMIT","","Thu Aug 20 18:06:59 UTC 2026","failed","Thu Aug 20 18:06:59 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanNotCreateDepositWithInvalidDataTest"
"","2366","userCanNotCreateDepositMoreThanLimitTest()","","Thu Aug 20 18:06:30 UTC 2026","failed","Thu Aug 20 18:06:33 UTC 2026","","iteration_2.ui.CreateDepositTest","iteration_2.ui.CreateDepositTest","userCanNotCreateDepositMoreThanLimitTest"
"","233","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [1] BLANK","","Thu Aug 20 18:06:28 UTC 2026","broken","Thu Aug 20 18:06:28 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","216","adminCanNotCreateUserWithInvalidUserNameTest(InvalidUsernameCase) [2] TOO_SHORT","","Thu Aug 20 18:06:28 UTC 2026","broken","Thu Aug 20 18:06:28 UTC 2026","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidUserNameTest"
"","531","userCanNotChangePersonalInfoWithInvalidDataTest(InvalidChangeNameCase) [3] SPECIAL_CHARACTERS","","Thu Aug 20 18:07:04 UTC 2026","broken","Thu Aug 20 18:07:05 UTC 2026","","iteration_2.api.ChangeNameTest","iteration_2.api.ChangeNameTest","userCanNotChangePersonalInfoWithInvalidDataTest"
"","515","userCanCreateDepositWithValidDataTest(double) [3] 4999.99","","Thu Aug 20 18:06:57 UTC 2026","failed","Thu Aug 20 18:06:58 UTC 2026","","iteration_2.api.CreateDepositTest","iteration_2.api.CreateDepositTest","userCanCreateDepositWithValidDataTest"
"","500","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest()","","Thu Aug 20 18:07:01 UTC 2026","failed","Thu Aug 20 18:07:01 UTC 2026","","iteration_2.api.TransferMoneyTest","iteration_2.api.TransferMoneyTest","userCanNotTransferValidAmountOfMoneyToInvalidAccountTest"
"","1798","userCanNotTransferMoneyWithoutSelectingSenderAccountTest()","","Thu Aug 20 18:06:44 UTC 2026","failed","Thu Aug 20 18:06:46 UTC 2026","","iteration_2.ui.TransferMoneyTest","iteration_2.ui.TransferMoneyTest","userCanNotTransferMoneyWithoutSelectingSenderAccountTest"
"","121","adminCanGenerateAuthTokenTest()","","Thu Aug 20 18:06:30 UTC 2026","passed","Thu Aug 20 18:06:30 UTC 2026","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
